aX,aY,aZ,gX,gY,gZ
0.857,-1.482,10.078,0.076,0.002,-0.049
0.85,-1.54,10.103,0.064,0.017,-0.045
0.819,-1.535,10.101,0.063,0.011,-0.044
0.823,-1.509,10.191,0.058,0.013,-0.035
0.825,-1.533,10.235,0.042,0.018,-0.022
0.831,-1.556,10.234,0.035,0.018,-0.018
0.87,-1.605,10.216,0.019,0.023,-0.013
0.861,-1.598,10.205,0.019,0.021,-0.008
0.839,-1.582,10.167,0.015,0.029,0.004
0.816,-1.551,10.11,0.018,0.031,0.02
0.788,-1.571,10.118,0.027,0.022,0.029
0.79,-1.556,10.135,0.016,0.027,0.038
0.789,-1.545,10.112,0.002,0.021,0.035
0.796,-1.541,10.103,-0.014,0.012,0.032
0.793,-1.483,10.133,-0.024,0.01,0.027
0.737,-1.421,10.053,-0.012,-0.002,0.02
0.71,-1.423,10.013,-0.013,0.002,0.015
0.746,-1.44,9.993,-0.004,-0.008,0.005
0.734,-1.412,10.015,0.003,-0.018,-0.005
0.727,-1.416,9.97,0.002,-0.023,-0.011
0.799,-1.364,9.976,0.011,-0.037,-0.019
0.775,-1.314,9.932,0.016,-0.047,-0.023
0.808,-1.338,9.897,0.017,-0.052,-0.026
0.775,-1.348,9.874,0.028,-0.062,-0.027
0.755,-1.343,9.844,0.033,-0.063,-0.031
0.733,-1.338,9.781,0.044,-0.073,-0.034
0.773,-1.33,9.824,0.046,-0.072,-0.031
0.751,-1.316,9.767,0.045,-0.07,-0.026
0.793,-1.289,9.765,0.049,-0.073,-0.027
0.791,-1.319,9.775,0.047,-0.066,-0.026
0.776,-1.355,9.791,0.042,-0.062,-0.023
0.776,-1.4,9.792,0.052,-0.076,-0.027
0.764,-1.4,9.794,0.056,-0.081,-0.023
0.778,-1.413,9.782,0.047,-0.07,-0.015
0.8,-1.435,9.706,0.046,-0.064,-0.005
0.876,-1.434,9.739,0.053,-0.06,0.001
0.927,-1.447,9.714,0.061,-0.058,0.007
0.98,-1.449,9.709,0.069,-0.053,0.013
1.004,-1.436,9.687,0.075,-0.042,0.022
1.035,-1.434,9.696,0.087,-0.048,0.024
1.055,-1.442,9.704,0.081,-0.044,0.025
1.087,-1.439,9.667,0.067,-0.032,0.027
1.106,-1.392,9.691,0.059,-0.022,0.025
1.154,-1.369,9.696,0.052,-0.014,0.024
1.163,-1.351,9.716,0.036,-0.003,0.019
1.13,-1.303,9.805,0.018,0.01,0.015
1.145,-1.293,9.797,0.006,0.018,0.016
1.137,-1.273,9.821,0.008,0.017,0.013
1.061,-1.261,9.796,0.007,0.018,0.012
1.014,-1.213,9.791,0.019,0.002,0.012
1.044,-1.174,9.8,0.011,0.006,0.014
1.034,-1.142,9.808,0.006,0.008,0.015
0.96,-1.117,9.827,0.008,0.002,0.014
0.912,-1.072,9.842,0.016,-0.006,0.008
0.897,-1.029,9.863,0.021,-0.009,0.007
0.853,-1.038,9.835,0.031,-0.015,0.007
0.829,-1.058,9.817,0.046,-0.025,0.005
0.777,-1.056,9.781,0.042,-0.021,0.005
0.797,-1.063,9.801,0.041,-0.021,0.005
0.808,-1.083,9.8,0.037,-0.023,0.014
0.799,-1.098,9.866,0.027,-0.025,0.02
0.781,-1.089,9.864,0.02,-0.023,0.025
0.801,-1.058,9.821,0.012,-0.018,0.026
0.789,-1.07,9.823,0.009,-0.011,0.029
0.776,-1.12,9.801,0.022,-0.013,0.027
0.775,-1.153,9.83,0.029,-0.008,0.027
0.797,-1.204,9.889,0.023,0.004,0.028
0.805,-1.229,9.888,0.022,0.004,0.028
0.797,-1.213,9.901,0.024,0,0.027
0.804,-1.231,9.89,0.024,0,0.026
0.781,-1.24,9.93,0.019,0.011,0.026
0.774,-1.31,9.888,0.008,0.028,0.026
0.793,-1.327,9.946,0.008,0.034,0.018
0.796,-1.356,9.95,0.005,0.042,0.015
0.797,-1.392,9.983,0.001,0.043,0.018
0.789,-1.398,9.983,0.002,0.036,0.02
0.783,-1.358,10.03,-0.005,0.04,0.021
0.798,-1.337,10.026,0.001,0.043,0.03
0.801,-1.384,10.015,0.006,0.03,0.021
0.798,-1.376,10.046,-0.001,0.036,0.014
0.799,-1.397,10.072,-0.008,0.042,0.016
0.814,-1.426,10.026,-0.004,0.034,0.014
0.817,-1.452,10.077,-0.007,0.029,0.009

0.916,-0.869,10.133,-0.008,-0.002,-0.025
0.912,-0.938,10.084,-0.008,-0.004,-0.028
0.927,-0.988,10.061,-0.003,-0.013,-0.019
0.933,-0.999,10.057,0,-0.017,-0.007
0.94,-1,10.029,0.004,-0.023,0.011
0.921,-1.011,10.014,0.011,-0.031,0.028
0.915,-0.979,10.041,0.006,-0.03,0.037
0.925,-0.957,10.002,-0.006,-0.029,0.039
0.966,-0.949,10.012,-0.012,-0.031,0.036
0.941,-0.947,9.958,-0.023,-0.022,0.03
0.912,-0.94,9.924,-0.016,-0.026,0.021
0.968,-0.982,9.942,-0.018,-0.02,0.019
0.939,-0.982,9.971,-0.011,-0.026,0.02
0.952,-1.013,9.936,-0.013,-0.026,0.025
